"user_id","payment_date","payment_month","mrr","new_mrr","new_users","churned_users","churned_revenue"
"4btLP2zvi8eBV0t08fdkKQ==",2022-04-07,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"2FYEYdoJMUOtbJ6TruruWA==",2022-04-07,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-04-07,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-04-08,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-04-09,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Veep00i4vvZbTAVD6GMoiA==,2022-04-09,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"787jk0VnxM8/sv/0TkvO6A==",2022-04-10,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
xiXTXOEbWU+HnGOUmgc9/w==,2022-04-10,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"4b7l8C489HEJirtoe7xtFg==",2022-04-10,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
OwODWxXcsV4bBnhONiLkwg==,2022-04-10,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"7GE5h/3N3lcro3K9T3aujw==",2022-04-10,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"75lEf3nSWLSf6GncqhR9gQ==",2022-04-10,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
T+RA0/fgzbUBLF89D4AEDA==,2022-04-10,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"4btLP2zvi8eBV0t08fdkKQ==",2022-04-11,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
zSepnWFgLH0tQb1s4mxKZQ==,2022-04-11,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
xiXTXOEbWU+HnGOUmgc9/w==,2022-04-11,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"7zbxKst2yi3pfdVI8iEChw==",2022-04-11,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
V7J42heW8l19wiBJ8UpRyw==,2022-04-11,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
nklUUkirU5GYU5ZtNOgx8w==,2022-04-11,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
TWDA+aUZ8OPMHOtz5cPPXA==,2022-04-11,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
ojVPXYZw2oeGtcmG7LcLGA==,2022-04-12,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
B4b6v6eUHvAVOeAQk6EEiw==,2022-04-12,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
gPRMy8HkmaiyX+13OxuP/A==,2022-04-12,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Ghk2iJmzSUW4qLsmJgwOcw==,2022-04-12,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
AN9at3LlvDamqXq8dvHD4w==,2022-04-12,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"7SeM1pmnTTTXfhI+x3ldng==",2022-04-12,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Dbff3x5cRk6/tUY3WQdzFQ==,2022-04-12,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Fqu+/F0rn1G4YP3f3yHA1Q==,2022-04-12,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Veep00i4vvZbTAVD6GMoiA==,2022-04-13,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
zSepnWFgLH0tQb1s4mxKZQ==,2022-04-13,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
ShEJVi+TtuQlvdw2uetd/Q==,2022-04-13,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"7EPlnA7OQ9MhMx+od6FA9g==",2022-04-13,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"7SeM1pmnTTTXfhI+x3ldng==",2022-04-13,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Dbff3x5cRk6/tUY3WQdzFQ==,2022-04-13,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
B4b6v6eUHvAVOeAQk6EEiw==,2022-04-13,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
ZmjMhgyYl6o8iFq964FEWg==,2022-04-14,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Ghk2iJmzSUW4qLsmJgwOcw==,2022-04-14,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"7EPlnA7OQ9MhMx+od6FA9g==",2022-04-14,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
fCdEizmUtnjNYQLbx81H8g==,2022-04-14,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
HZqx1XVZ1mb7lM9T61x+DA==,2022-04-15,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Wua5DlzLb2yNeSrcG9Xi3g==,2022-04-15,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
BJlqmsfEshc/QjsD7VgEjg==,2022-04-15,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
jVhb69DTRT5TSWYEiUrlbg==,2022-04-15,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"4btLP2zvi8eBV0t08fdkKQ==",2022-04-16,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Veep00i4vvZbTAVD6GMoiA==,2022-04-16,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
T+RA0/fgzbUBLF89D4AEDA==,2022-04-17,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
jVhb69DTRT5TSWYEiUrlbg==,2022-04-17,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
ilnMSoPJHAYMegDX02XG+w==,2022-04-17,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
TWDA+aUZ8OPMHOtz5cPPXA==,2022-04-17,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
BJlqmsfEshc/QjsD7VgEjg==,2022-04-17,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
orbgZNBGuhZZx63HTAbyIw==,2022-04-17,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"4btLP2zvi8eBV0t08fdkKQ==",2022-04-17,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
W6fRYNhsTNHQkvkoFEUaVQ==,2022-04-17,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
l3sFUsG2qpcnrEzwRnjvtQ==,2022-04-17,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
eCd4MBHIR4qUWapg05TFLQ==,2022-04-18,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
CCwTMcGtpirFFuqzSeTyaQ==,2022-04-18,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
o55dseByUOl9s5IQCz1kuQ==,2022-04-18,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
HRBsRwGu5mkTvZBTNpA0tQ==,2022-04-19,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
ZxxZ87IcpgSh4lQ/VSIjnA==,2022-04-19,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
hRkRI5YBVIH6bbqIDTbung==,2022-04-19,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Jp0hnV9XOJGVV5jpFhlqgQ==,2022-04-19,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"7GE5h/3N3lcro3K9T3aujw==",2022-04-19,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
F9Jtg6+0qPUKWDgBJxG8cA==,2022-04-19,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
DqezK7HAqZ+GovyRuzxD1A==,2022-04-19,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
ilnMSoPJHAYMegDX02XG+w==,2022-04-19,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"7EPlnA7OQ9MhMx+od6FA9g==",2022-04-20,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
HRBsRwGu5mkTvZBTNpA0tQ==,2022-04-20,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
DqezK7HAqZ+GovyRuzxD1A==,2022-04-20,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Grpkzd4XIHh+ZbTMNxnUGg==,2022-04-20,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Ghk2iJmzSUW4qLsmJgwOcw==,2022-04-21,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
o55dseByUOl9s5IQCz1kuQ==,2022-04-21,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"75lEf3nSWLSf6GncqhR9gQ==",2022-04-21,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Lug+Yg90jslWgHEN6dc+Ng==,2022-04-21,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
gPRMy8HkmaiyX+13OxuP/A==,2022-04-21,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
H2Tik+BqoLgAQX4uSw/8vA==,2022-04-21,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
